[00000.00-00005.38] 聊件了新法的構成以及他每個內容如何去考察之後呢
[03668.58-03669.90] 第一个犯重罪的
[03669.90-03673.10] 同时要求是要双重犯罪原则
[03673.10-03675.10] 所以在这里面大主义是保不管下
[03675.10-03678.02] 第三个普遍管下针对就是国际反对
[03678.02-03679.58] 这个叫做空间效率
[03679.58-03680.78] 那还有一个时间效率
[03680.78-03683.74] 我们就抓住叫从旧间重新就行了
[03683.74-03685.66] 时间效率包括生效实效监
[03685.66-03686.78] 素材力的问题
[03686.78-03688.30] 所以在这里面大主义
[03688.30-03689.86] 这是我们所说的形务
[03689.86-03690.90] 该数
[03690.90-03693.50] 好 那到这就把行了 该数给大家说了
