[00000.00-00003.28] 同一们好 欢迎大家来学习今天的内容
[00003.28-00008.52] 我是权威老师 那今天我们要给大家去讲解的是经济学当中的第三个
[00008.52-00011.08] 大的板块就是红官经济学
[03683.04-03684.28] 所以大家要注意
[03684.28-03685.60] 你看我们讲了那么多
[03685.60-03686.84] 我们最后在副席的时候
[03686.84-03688.72] 只给他变成一张框架
[03688.72-03689.32] 就可以了
[03689.32-03691.80] 这样的话其实就会清晰很多
[03691.80-03692.40] 好的
[03692.40-03694.56] 这个就是我们所说的第一个目标
[03694.56-03698.32] 也是在目标当中最难的就做经济增长
[03698.32-03698.72] 好
