[00000.00-00004.36] 那我們了解了行政法的蓋數之後我們接下來來看一下
[03477.74-03479.86] 是同一个违法行为怎么样
[03479.86-03481.98] 不能给两次打款
[03481.98-03484.54] 并不意味着不能法两次
[03484.54-03485.42] 明白
[03485.42-03486.42] 只要不是法款
[03486.42-03487.42] 你可以法两次
[03487.42-03488.34] 第三一个就是
[03488.34-03489.58] 如果真的是法款
[03489.58-03491.74] 一个行为多个不门找你法款
[03491.74-03492.62] 都要钱
[03492.62-03494.30] 那这个时候法那个法罪高的
[03494.30-03495.14] 相逐错了呢
[03495.14-03495.54] 对吧
[03495.54-03498.14] 所以按照数和教高的来确定
[03498.14-03498.90] 法款数
[03498.90-03500.58] 那这是基本原则
[03500.58-03502.18] 那么一直在说形容出发
[03502.18-03504.02] 它是减損钱一口增加一无
[03504.02-03505.86] 那哪些具体的行为
[03505.86-03507.42] 可以减損全有争加一无呢
[03507.42-03509.66] 那这里就是睡到形容出发的种类
[03509.66-03510.42] 种类的话
[03510.42-03511.02] 他们注意一下
[03511.02-03512.94] 这是我给大家写的这个顺口榴
[03512.94-03514.02] 你有个印象
[03514.02-03515.22] 这里面有续业的点
[03515.22-03516.18] 第一个就是
[03516.82-03517.86] 我们所说的
[03517.86-03518.66] 警告
[03518.66-03520.94] 警告一定是疏面的
[03520.94-03522.02] 而不能是口头的
[03522.02-03522.42] 对吧
[03522.42-03523.06] 第二个就是
[03523.06-03526.50] 居留這個居留指的是行政居留行政居留
[03526.50-03531.22] 當個15日 和病執行最長不超過20日
[03531.22-03534.42] 行政居留指能誰來搞公安機關來搞
[03534.42-03535.94] 這個就是種類
[03535.94-03538.10] 但是咱們說了 像這種設定
[03538.10-03539.38] 他必須甚至有甚
[03539.38-03541.22] 行政法本質在於控權
[03541.22-03543.94] 從而盡可能的保護老百姓的權益
[03543.94-03546.02] 這利我們就說了 那這麼多種類
[03546.02-03549.14] 你必須得給他們進行相的限制
[03549.14-03551.06] 所以並不是所有的規範性反應件
[03551.06-03552.98] 都能設定行政處查到種類的
[03552.98-03555.18] 所以在这里的设定上考一个对用
[03555.18-03556.98] 我说了法律可以设全部
[03556.98-03558.10] 有条注意下
[03558.10-03561.10] 限制人生自由的行政拘留
[03562.18-03565.26] 注意啊 限制人生自由的行政拘留
[03565.26-03566.78] 在这个情况这下是什么
[03566.78-03567.98] 只能法律来设定
[03567.98-03569.98] 行政法官是可以设定出
[03569.98-03572.46] 限制人生自由以外的这些
[03572.46-03576.18] 地方性法官是限制有和调始兆
[03576.18-03577.78] 只有调销也也只兆
[03577.78-03579.10] 不是调销续和征啊
[03579.10-03580.58] 这个系列点一定要注意下
[03580.58-03582.10] 而不一张包括
[03582.10-03584.46] 政府位置和部门位置
[03584.46-03587.90] 他可以设定警告通报批评和一定数额的法款
[03587.90-03591.46] 这个就是形容主察的主带大家一条注意
