[00000.00-00004.90] 我们接着来看第三节的内容就是生物一学之事
[03426.24-03427.52] 结构他游泼特别快
[03427.52-03430.08] 后来呢被采判了
[03430.08-03431.76] 后来这个比费主就认为
[03432.48-03434.24] 像这种杀予用意的话
[03434.24-03438.00] 他有点高科技很符,做幣显云
[03438.00-03442.76] 后来杀云一,他就禁止使用了,所以大家注意一下,这是杀云一
[03442.76-03445.12] 一般一个女儿和飞机没想好说的,对吧
[03445.12-03447.56] 而第8个,第9个同胵注意下
[03447.56-03448.56] 第9个是啥呢?
[03448.56-03451.64] 第9个在这里是常硬如何他的鱼航服
[03451.64-03454.40] 常硬入大家都知道,长得特别高,对吧
[03454.40-03458.04] 他特别高的话,你不得特别的常,那他不得特别常呢?
[03458.04-03462.72] 那这种情况之下,他的科学也,是否就要通过他强大的心致,把他的学
[03462.72-03464.12] 碰到他的脑子上
[03464.12-03465.16] 不然的话长就落
[03465.16-03466.96] 不然这个高不就是缺血了嘛
[03466.96-03467.28] 对吧
[03467.28-03468.64] 他就没有个好正常行走了
[03468.64-03471.04] 所以长就露的脖子特别的长
[03472.20-03473.64] 假设按这长就露
[03473.64-03474.68] 不太会坏
[03475.08-03475.96] 不太像
[03475.96-03477.64] 大家就知道长就露的脖子很长
[03477.64-03478.36] 就行了
[03478.36-03479.64] 长露的脖子很长
[03480.64-03481.64] 不坏了
[03481.64-03483.68] 大家就想想想想想想想想想想想想露脖子很长
[03483.68-03484.92] 那一看长露脖子很长
[03484.92-03487.24] 身为他的心脏特别的强大对吧
[03487.24-03487.80] 所以呢
[03487.80-03489.00] 他心脏一碰血
[03489.00-03490.52] 在加上他的皮膚呢
[03490.52-03491.36] 又比较紧智
[03491.36-03493.36] 他的血就一下会碰到他的头上
[03493.36-03494.52] 但是我们会发现
[03494.52-03495.56] 哪怕是这种情况
[03495.56-03497.36] 常常露在皮腿喝水的时候
[03497.36-03498.96] 大家知道常露喝水这么多
[03498.96-03500.36] 这么合了 对吧 他的腿是这样的
[03500.36-03501.96] 常露在这喝水的时候
[03501.96-03502.96] 他说要低头
[03502.96-03505.76] 他那么搞他那个头往下低喝水的时候
[03505.76-03508.36] 常露有没有出现头晕墓线的情况呢
[03508.36-03509.96] 没有原就是在于什么
[03509.96-03512.36] 原就是在于他身上那一层皮
[03512.36-03512.96] 对吧
[03512.96-03514.76] 就是他皮腹特别的紧脂
[03514.76-03517.76] 就能够对这种血压产生一个的影响
[03517.76-03519.16] 根据这样的一个原理
[03519.16-03520.76] 我们就原制出来了
[03520.76-03522.56] 女杭夫 因为女杭夫
[03522.56-03525.36] 大家都知道他在去进行信任或航空的时候
[03525.36-03526.56] 他就要对抗那种
[03526.56-03528.96] 可能会出现脑充血
[03528.96-03530.16] 然后修刻的这种情况
[03530.16-03531.36] 那怎么避免这种情况呢
[03531.36-03532.76] 就是防招成就落
[03532.76-03534.36] 他为啥低头喝水的时候
[03534.36-03536.36] 他没有说突然下军到了
[03536.36-03538.36] 就是因为他的皮膚的这个原因
[03538.36-03540.36] 所以就防招抢入的皮膚
[03540.36-03541.96] 就搞出了我们所说的什么
[03541.96-03543.36] 就是女杭夫
[03543.36-03546.36] 那这是我们所说的有关于生物当中
[03546.36-03547.56] 小达去掌握的内容
[03547.56-03549.56] 咱把这个生物所涉一道的点
[03549.56-03550.64] 还是非常多的
[03550.64-03552.08] 将来简单的书里一下
[03552.08-03553.32] 首先第一个我们都知道
[03553.32-03554.20] 大部分的生物
[03554.20-03556.40] 它是由西包构成的
[03556.40-03556.68] 对吧
[03556.68-03557.76] 所以在这里的一个
[03557.76-03558.72] 就是西包
[03558.72-03559.80] 这里没有我们要知道
[03559.80-03561.48] 出并读之外
[03561.48-03563.44] 所有的生物都是由西包构成的
[03563.44-03564.56] 这是第一个点
[03564.56-03565.16] 第二点
[03565.16-03566.52] 就是西包谁提出来的
[03566.52-03567.76] 西包选说两个人
[03567.76-03569.04] 是来登和失望
[03569.04-03570.32] 这是第一个西包
[03570.32-03571.20] 这是第一个点
[03571.20-03572.12] 那提到生物
[03572.12-03573.12] 还要提到第二个问题
[03573.12-03574.24] 就是一传
[03574.24-03575.84] 这里没有提到了一传物
[03575.84-03577.52] 我们说一传物之就是什么
[03577.52-03578.44] 和酸
[03578.44-03580.76] 而一传物的基本组成单位是什么
[03580.76-03581.72] 核干算
[03581.72-03583.28] 核干算是由物堂
[03583.28-03585.08] 寒难减减减核零算组成的
[03585.08-03587.36] 而物堂可能是拖养核堂
[03587.36-03588.68] 也可能是核堂
[03588.68-03590.92] 于是在这里面就出现了两个
[03590.92-03592.76] 一个叫拖养核堂核算
[03592.76-03594.44] 大助一下叫DNA
[03594.44-03597.64] 当然也有人把他称为叫拖养核堂核干算
[03597.64-03598.28] 一样的
[03598.28-03599.92] 还有一个就是要二人
[03599.92-03603.28] 这里面的考虑是在于DNA上的片段
[03603.28-03604.92] 被称为叫做级言
[03604.92-03606.08] 所以他在这里说
[03606.08-03607.64] 一传物纸就是核算
[03608.44-03610.74] 哎对的一传物质就是
[03611.26-03611.76] 基因
[03612.02-03615.36] 就不对了他们之间的这个宽价关系担任了搞清楚安
[03615.60-03617.66] 那这是我们所说的一传物质
[03617.92-03625.34] 那了解了什么是有传一传物质之后呢我们都知道了那生物和非生物的一个主要的一个区分啊就是生物能够进行新成代谢
[03625.60-03628.66] 我们在新成代谢当中啊就讲了两个一个是光合作有
[03628.92-03633.78] 一个是呼吸作有光合作有大家知道细绝也可以进行光合作有并非指物所特有
[03633.78-03636.68] 第二个施胖氧器就会提到下午四点钟
[03636.68-03637.88] 断面的问题
[03637.88-03638.88] 这是光合作有
[03638.88-03639.28] 是吧
[03639.28-03640.18] 二花汤
[03640.18-03641.68] 转发成氧气
[03641.68-03642.28] 那还有一个呢
[03642.28-03643.08] 就呼吸作用
[03643.08-03645.78] 就是把氧气转化为二花汤
[03645.78-03646.68] 那这里面
[03646.68-03647.98] 我们说了游氧餐压的
[03647.98-03648.88] 就游氧呼吸
[03648.88-03649.98] 无氧就是无氧呼吸
[03649.98-03651.28] 但是不会考呼吸
[03651.28-03652.68] 而是考运动
[03652.68-03653.48] 所以大家注意一下
[03653.48-03654.98] 它这个运动情况
[03654.98-03655.88] 一定要注意
[03655.88-03657.58] 尤其是无氧运动记住酸痛
[03657.58-03658.98] 那是因为无氧运动
[03658.98-03660.58] 因为它没有氧气
[03660.58-03662.78] 参与那它产生的无酸没有文化
[03662.78-03664.54] 贷戏就会记录酸痛
[03664.54-03666.46] 那这是生物的贷戏
[03666.46-03667.90] 那这是第三个
[03667.90-03670.14] 那我们前面对于前三个问题
[03670.14-03671.94] 其实都是在了解生物自身
[03671.94-03673.82] 那我们说了生物的总练很多
[03673.82-03675.82] 那生物和环境的至于
[03675.82-03678.14] 就够成了我们所说的生态系统
[03678.14-03679.42] 所以在生态系统当中
[03679.42-03680.06] 我们就讲了
[03680.06-03682.42] 第一个就是生态平红的问题
[03682.42-03682.78] 对吧
[03682.78-03686.54] 生态平红是系统处于相对稳定的动态的这样的情况
[03686.54-03687.66] 而不是一遍不遍
[03687.66-03690.30] 我说了要留入和流出的能量近次
[03690.30-03690.94] 第二个呢
[03690.94-03694.18] 就是在生態性當中提到了三大生態系統
[03694.18-03696.74] 那是三大生態系統強調的就是
[03698.18-03700.10] 雖然海洋和實力
[03700.10-03702.94] 生態系統又有他自己的功能
[03702.94-03704.38] 所以在這裡面我們講了
[03704.38-03706.38] 第一個是能量流動第二物質循環
[03706.38-03708.10] 物質循環的主要是三個
[03708.10-03709.46] 同沒有意想就行了
[03709.46-03711.02] 從這就能看得出來
[03711.02-03712.94] 整個生態系統它是非常的
[03712.94-03714.90] 當作一個字來說就是沒有
[03714.90-03715.18] 對吧
[03715.18-03716.70] 所以我們對於自然
[03716.70-03718.70] 永遠是境味自然尊敬自然
[03718.94-03720.18] 還有利用自然
[03720.18-03721.66] 对吧,这里面我们说了
[03721.66-03724.26] 那尊敬自然境为自然令自然光成当中
[03724.26-03726.06] 就会有一个非常先活的案例
[03726.06-03727.10] 就是防生技术
[03727.10-03728.82] 一个防生技术就是考察
[03728.82-03729.54] 对应
[03729.54-03730.62] 那这是我们所说的
[03730.62-03731.50] 第一个
[03731.50-03733.10] 在生物许学当中的大约体
[03733.10-03735.90] 就是生物自身到底是什么
