[00000.00-00004.34] 那講完了才能爭测以後我們再來一起看一下貨幣政策
[03596.10-03598.64] 买机游家政权是把钱都扔到市场上
[03598.64-03599.92] 这个叫逆回购
[03599.92-03602.52] 所以他有的时候不给卖出很买金
[03602.52-03604.40] 他给到正回购和逆回购
[03604.40-03605.32] 同时没有知道
[03605.32-03607.36] 因为选项当中会出现这两个次
[03607.36-03608.44] 那我们就分析嘛
[03608.44-03610.68] 卖出游家政权网绘卖卖了
[03610.68-03612.68] 網絡賣力全會來吧 對吧
[03612.68-03615.48] 就說把錢都洗到中一行李了
[03615.48-03617.48] 市場到中的會比就少了
[03617.48-03618.88] 那買計有壓政權了
[03618.88-03620.88] 把東西都買回來把錢放進去了
[03620.88-03622.20] 你把網絡放錢
[03622.20-03624.36] 那網絡放錢是逆的過程
[03624.36-03626.36] 那這裡面就叫做增加會比
[03626.36-03629.40] 那這時候也要根據他給到的具體情況去分析
[03629.40-03630.88] 那最後一個就是存在款
[03630.88-03631.68] 幾準例率
[03631.68-03634.72] 咱們知道他能變得方向是相同的第二個
[03634.72-03635.72] 例率
[03636.36-03638.40] 後面所說的會比關了兩時間
[03638.40-03642.44] 夸幣公园了之间同方的反方向
[03642.44-03645.44] 和夸幣公园了之间是反方向的
[03645.44-03647.04] 所以在这里面大家注意一下
[03647.04-03648.76] 这是它的具体的应用
[03648.76-03651.20] 其它的细节这个点非常重要
[03651.20-03653.20] 这个就是我们所说的整个
[03653.20-03655.24] 夸幣政策的内容
[03655.24-03656.60] 一定要给它吃透
