[00000.00-00005.00] 了解了整個行政法以行政訴訟法的一個基本價格之後
[03567.74-03570.44] 只法手段必须符合法律目的
[03570.82-03572.72] 好像没有说过这个
[03572.72-03574.74] 但是我们在哪里墙掉法律目的
[03574.74-03577.00] 说出于公共利益的需要
[03577.00-03578.30] 他墙掉的是什么性
[03578.30-03580.48] 他墙掉的是和目的性
[03580.48-03583.48] 同一们来看一下核目的性是哪一个原则
[03584.84-03585.86] 核目的性
[03585.86-03589.24] 它属于我们所说的核理行政嘛
[03589.24-03589.70] 对吧
[03589.70-03591.48] 你看 考的还是什么同学嘛
[03591.48-03593.80] 还是考的刚才的那个框架
[03593.80-03596.92] 所以针对于我们所讲到的核法行政和理行政
[03596.92-03598.02] 这是这几个原则
[03598.02-03599.68] 你看我们说了核目的性
[03599.68-03601.08] 必须符合法律目的嘛
[03601.08-03601.84] 这不在这嘛
[03601.84-03604.44] 所以我反覆强叫这个框架的重要性
[03604.44-03605.80] 大家一定要注意
[03605.80-03606.84] 这是第二个
[03606.84-03608.28] 那它不符合核法行政
[03608.28-03609.68] 它属于核理行政
[03609.68-03616.00] 第三一個呢,說行政機關必須按照法律授權活動,這個是必須的合法嗎?
[03616.00-03617.60] 不得在法外
[03617.60-03621.36] 下面,不可以在法外設定權利也正確
[03621.36-03626.32] 所以教題都是不屬於合法行政的,那就只有第幾個,只有第2個
[03626.32-03628.32] 這個地方大家會覺得難
[03628.32-03636.96] 其實它本質上南漫同學們,它本質上不是難,它本質上是啥,它本質上是肉,就是同學漫會覺得是肉是這個地方,它太肉了
[03636.96-03638.88] 我就让人让去给我烧进去了
[03638.88-03640.04] 为什么会觉得烧呢
[03640.04-03641.16] 就是大家的这个
[03641.16-03642.76] 框架没有处理清楚
[03642.76-03644.88] 所以想要把我们所说的形容法
[03644.88-03646.64] 几个原则的分达到不丢分
[03646.64-03648.60] 我们讲的已经很细了
[03648.60-03651.40] 几乎在这里面的每个考虑都给大家讲到了
[03651.40-03653.48] 这个时候你只需要把刚才
[03653.48-03655.40] 给大家所说的这个框架
[03655.40-03656.52] 旅生清楚
[03656.52-03658.12] 然后还要出来就行了
[03658.12-03660.84] 这个就是我们所提到了形容法的
[03660.84-03661.84] 基本原则
